 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
MÈc nh©n	0	2	2	2005	6	17	10	10	720	ƒæ»À	ø’ ÷	320	100	40	100;128	0;0	10	50	20	26	10	300	3	18	701	2	100										\settings\droprate\npcdroprate203.ini	1	33	91	91	23	0									
ßÂng nh©n	0	1	1	2399	6	17	10	10	720	Õ≠»À	ø’ ÷	383	100	52	130;150	0;0	10	70	0	13	60	300	3	18	701	2	100										\settings\droprate\npcdroprate204.ini	1	38	127	127	32	0									
Quan s¯	0	0	0	2474	8	17	10	10	720	∂Ò¿Ù	ø’ ÷	333	100	40	108;128	0;0	10	25	5	13	10	300	5	18	701	2	90	603	10	10							\settings\droprate\npcdroprate205.ini	1	34	96	96	31	0									
BÈ kho∏i	0	5	5	3968	8	17	10	10	900	≤∂øÏ	ø’ ÷	454	100	60	161;201	0;0	10	31	12	16	36	300	5	9	701	2	100	603	15	10							\settings\droprate\npcdroprate206.ini	1	43	174	174	34	0									
MÀt th∏m	0	3	3	3671	8	17	10	10	900	√‹ÃΩ	ø’ ÷	496	100	75	178;222	0;0	10	0	35	17	22	300	5	9	701	2	100										\settings\droprate\npcdroprate207.ini	1	46	214	214	20	0									
Ki’m HÂn	0	6	6	5772	14	17	10	10	900	Ω£ªÍ	ø’ ÷	685	100	100	0;0	270;338	10	34	80	18	65	300	6	9	703	2	80	627	10	20							\settings\droprate\npcdroprate208.ini	1	58	463	463	34	0									
S∏t ThÒ Oa Oa	6	0	0	450000	12	17	10	10	32400	ÕﬁÕﬁ…± ÷	ø’ ÷	1986	100	0	4343;4888	4343;4888	0	0	0	0	0	300	5	9	701	3	70	644	12	30							\settings\droprate\npcdropratexb014.ini	1	95	1700	1700	23	1									
xxx	0	0	0	1000	5	17	10	10	720	xxx	ø’ ÷	70	100	10	400	100					400	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	40	200	400	36	0									
Xa Lu©n B∏ V≠¨ng	6	0	0	46100	12	17	10	10	32400	≥µ¬÷∞‘Õı	ø’ ÷	2000	100	0	4400;4921	4400;4921	0	90	30	50	30	300	5	9	701	3	70	644	12	15	647	12	15				\settings\droprate\npcdropratexb013.ini	1	96	1800	1800	23	1									
Huy’t Tr∂o	0	0	0	1000	5	17	10	10	720	—™◊¶	ø’ ÷	70	100	10	400	100					400	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	40	200	400	36	2									
Mi™u tÈc thi’u n˜1	0	0	0	1007	8	17	10	10	720	√Á◊Â–°π√ƒÔ1	ø’ ÷	250	100	40	46;86	0;0	10	24	8	13	4	300	4	27	705	2	100										\settings\droprate\npcdroprate213.ini	1	22	55	55	44	0									
Mi™u tÈc ti”u n˜2	0	0	0	1000	5	17	10	10	720	√Á◊Â–°π√ƒÔ2	ø’ ÷	70	100	10	400	100					400	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	40	200	400	36	0									
Hoang mπc Æao kh∏ch	0	5	5	4096	8	17	10	10	900	ªƒƒÆµ∂øÕ	ø’ ÷	540	100	80	218;242	0;0	10	30	24	16	25	300	6	9	701	2	100										\settings\droprate\npcdroprate215.ini	1	49	267	267	35	0									
D˘ L≠u	0	0	0	1000	5	17	10	10	720	‘§¡Ù	ø’ ÷	70	100	10	400	100					400	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	40	200	400	36	0									
D≠Óc V≠¨ng	0	0	0	450000	12	17	10	10	32400	“©Õı	ø’ ÷	1986	100	0	4343;4666	4343;4666	0	0	0	0	0	300	5	9	703	2	60	614	12	20	645	12	20				\settings\droprate\npcdropratexb017.ini	1	95	1711	1711	23	1									
V÷ binh thµnh m´n	6				0					≥«√≈Œ¿±¯														18																												
L≠u manh thµnh thﬁ	6				3					≥« –¡˜√•														18																												
Nha dﬁch	6				3					πŸ∏Æ—√“€														18																												
B∏t PhÙ si™u c p	6				3					≥¨º∂∆√∏æ														18																												
Giang hÂ tu n ki÷t	6				3					Ω≠∫˛ø°Ω‹														18																												
Giang hÂ hµo ki÷t	6				3					Ω≠∫˛∫¿Ω‹														18																												
T©y Nam Mi™u Nh©n	6				3					Œ˜ƒœ√Á»À														18																												
Thi’u n˜ Mi™u TÈc	6				3					√Á◊Â…Ÿ≈Æ														18																												
LÙc Phi’n cao thÒ1	6				3					¡˘…»√≈∏ﬂ ÷1														18																												
LÙc Phi’n cao thÒ2	6				3					¡˘…»√≈∏ﬂ ÷2														18																												
LÙc Phi’n cao thÒ3	6				3					¡˘…»√≈∏ﬂ ÷3														18																												
Lam ßao Qu˚	6				3					¿∂µ∂πÌ														18																												
V‚ t≠Ìng Li™u_ÆËi thoπi	6				3					¡…π˙Œ‰Ω´∂‘ª∞														18																												
Li™u QuËc V‚ T≠Ìng	0	0	0	269000	6	17	10	10	64800	¡…π˙Œ‰Ω´	ø’ ÷	1170	100	80	1750;2070	0;0	10	66	50	34	40	300	5	9	616	4	80	623	5	20	617	7	0	618	1	0	\settings\droprate\npcdroprate127.ini	10	70	10000	10000	15	2									
°n mµy	6				0					◊¯µÿ∆Úÿ§														18																												
Du Ph≠¨ng T≠Ìng S‹	6				3					”Œ∑Ωœ‡ ø														18																												
Thi’u ni™n nam1	6				3					∆’Õ®…ŸƒÍƒ–1														18																												
Thi’u ni™n nam2	6				3					∆’Õ®…ŸƒÍƒ–2														18																												
Thi’u ni™n3	6				3					∆’Õ®…ŸƒÍƒ–3														18																												
Th´n phÙ1	6				3					¥Â∏æ1														18																												
Th´n phÙ2	6				3					¥Â∏æ2														18																												
Th´n phÙ 3	6				3					¥Â∏æ3														18																												
Qu∂n gia	6				3					π‹º“														18																												
Gi∏o chÒ Minh Gi∏o	6				3					√˜ΩÃΩÃ÷˜														18																												
Th∏nh n˜ Minh Gi∏o	6				3					√˜ΩÃ •≈Æ														18																												
HÈ ph∏p Minh Gi∏o	6				3					√˜ΩÃª§∑®														18																												
ß÷ tˆ Minh Gi∏o	6				3					√˜ΩÃµ‹◊”														18																												
Th≠¨ng nh©n thu thÀp	6				3					 ’ºØ…Ã»À														18																												
Du Ph≠¨ng Æπi phu	6				3					”Œ∑Ω“Ω…˙														18																												
Ng˘ TrÔ	6				3					”˘≥¯														18																												
V©n Du ßπo Nh©n	6				3					‘∆”Œµ¿»À														18																												
Th«y luy÷n thÛ	6				3					—± ﬁ ¶														18																												
Th«y nghi th¯c	6				3					¿Ò“«¿œ ¶														18																												
ThÓ cπo	6				3					ÃÍÕ∑ ¶∏∏														18																												
V‚ L©m truy“n nh©n	6				3					Œ‰¡÷√À¥´»À														18																												
Dﬂng th´ng b∏o	6				3					π´∏Ê¿∏														18																												
L∑o phÛ hÈ	6				3					 ›∏ªº“¿œÕ∑														18																												
Quan s¯-trung ni™n1	6				3					÷–ƒÍ ›πŸ¿Ù1														18																												
Quan s¯2	6				3					÷–ƒÍ ›πŸ¿Ù2														18																												
Quan s¯3	6				3					÷–ƒÍ ›πŸ¿Ù3														18																												
V‚ L©m Minh ChÒ1	6				3					÷∞ƒ‹Œ‰¡÷√À÷˜1														18																												
V‚ L©m Minh ChÒ2	6				3					÷∞ƒ‹Œ‰¡÷√À÷˜2														18																												
Th≠ sinh	6				3					 È…˙														18																												
Xa Th∏i Qu©n	6				3					Ω°øµµƒ”‡Ã´æ˝														18																												
Phu nh©n (cao)	6				3					≥¨º∂πÛ∏æ														18																												
Phu nh©n-phÊ th´ng	6				3					∆’Õ®πÛ∏æ														18																												
ßπi ti”u th≠ tÀp v‚	6				3					œ∞Œ‰¥Û–°Ω„														18																												
Hi÷p n˜	6				3					œ¿≈Æ														18																												
L∑o n´ng d©n	6				3					≈©º“¿œÕ∑														18																												
Thi’u ni™n trong th´n	6				3					¥Â÷–…ŸƒÍ														18																												
Bµ l∑o n´ng d©n	6				3					≈©º“¿œÃ´														18																												
D©n n˜	6				3					√Òº“…Ÿ≈Æ														18																												
B∏n s∏ch	6				3					ΩÃ Èµƒ														18																												
G∏nh hµng	6				3					ÃÙµ£µƒ														18																												
B∏n hµng	6				3					¬Ùªıµƒ														18																												
K—o hÂ l´	6				3					Ã«∫˘¬´														18																												
Bµ chÒ	6				3					¿œ∞ÂƒÔ														18																												
Ng≠ d©n	6				3					”Ê√Ò														18																												
TËng T≠Ìng Qu©n	6				3					ÀŒΩ´æ¸														18																												
TËng Giang	6				3					ÀŒΩ≠														18																												
ß≠Íng M´n T©n Ch≠Îng M´n	6				3					Ã∆√≈’∆√≈–¬														18																												
ChÒ qu∂n ∏m Kh› phﬂng	6				3					∞µ∆˜∑ø÷˜π‹														18																												
ChÒ qu∂n H·a Kh› phﬂng	6				3					ª∆˜∑ø÷˜π‹														18																												
ß≠Íng M´n T©n m´n nh©n	6				3					Ã∆√≈√≈»À–¬														18																												
C´n L´n T©n Ch≠Îng M´n	6				3					¿•¬ÿ’∆√≈–¬														18																												
C´n L´n T©n Ph„ Ch≠Îng M´n	6				3					¿•¬ÿ∏±’∆√≈–¬														18																												
C´n L´n T©n Tr≠Îng L∑o	6				3					¿•¬ÿ≥§¿œ–¬														18																												
C´n L´n T©n M´n Nh©n	6				3					¿•¬ÿ√≈»À–¬														18																												
NgÚ ßÈc T©n Ch≠Îng M´n	6				3					ŒÂ∂æ’∆√≈–¬														18																												
T≠Ìng qu©n ph≠¨ng Bæc	6				3					±±∑ΩΩ´æ¸														18																												
Nam nh©n ph≠¨ng Bæc1	6				3					±±∑Ωƒ––‘1														18																												
Nam nh©n ph≠¨ng Bæc2	6				3					±±∑Ωƒ––‘2														18																												
Nam nh©n ph≠¨ng Bæc3	6				3					±±∑Ωƒ––‘3														18																												
§ng giµ ph≠¨ng Bæc1	6				3					±±∑Ω¿œÕ∑1														18																												
§ng giµ ph≠¨ng Bæc2	6				3					±±∑Ω¿œÕ∑2														18																												
PhÙ n˜ ph≠¨ng Bæc1	6				3					±±∑Ω∏æ≈Æ1														18																												
PhÙ n˜ ph≠¨ng Bæc2	6				3					±±∑Ω∏æ≈Æ2														18																												
Thi’u n˜ ph≠¨ng Bæc1	6				3					±±∑Ω…Ÿ≈Æ1														18																												
Thi’u n˜ ph≠¨ng Bæc2	6				3					±±∑Ω…Ÿ≈Æ2														18																												
Nam nh©n T©y Nam	6				3					Œ˜ƒœƒ––‘														18																												
PhÙ n˜ T©y Nam	6				3					Œ˜ƒœ≈Æ–‘														18																												
Nam nh©n T©y Bæc	6				3					Œ˜±±ƒ––‘														18																												
PhÙ n˜ T©y Bæc	6				3					Œ˜±±≈Æ–‘														18																												
Truy“n gi∏o s‹	6				3					¥´ΩÃ ø														18																												
Phu nh©n T©y D≠¨ng	6				3					Œ˜—ÛπÛ∏æ														18																												
Th≠¨ng nh©n Ba T≠	6				3					≤®Àπ…Ã»À														18																												
VÚ n˜ Ba T≠	6				3					≤®ÀπŒËºø														18																												
ßÊi	11				3					«–ªª														18																												
Th∏c n≠Ìc	10				3					∆Ÿ≤º														18																												
L©m Gian ßi”u Khi’u	10				3					¡÷º‰ƒÒΩ–														18																												
Hµ ThÒy	10				3					∫”ÀÆ														18																												
R≠¨ng	10				0					œ‰◊”														18																												
maptrap1	11				3					maptrap1														18																												
maptrap2	11				3					maptrap2														18																												
maptrap3	11				3					maptrap3														18																												
maptrap4	11				3					maptrap4														18																												
maptrap5	11				3					maptrap5														18																												
maptrap6	11				3					maptrap6														18																												
maptrap7	11				3					maptrap7														18																												
maptrap8	11				3					maptrap8														18																												
S¨n d≠¨ng	0	0	0	150	8	17	10	10	720	…Ω—Ú	ø’ ÷	30	100	6	4;8	0;0	0	4	0	3	0	200	2	9	701	2	100										\settings\droprate\npcdroprate300.ini	1	7	6	6	24	0									
HÊ con	0	0	0	624	5	17	10	10	720	–°¿œª¢	ø’ ÷	250	100	10	23;29	0;0	5	8	3	5	3	300	5	9	701	2	100										\settings\droprate\npcdroprate301.ini	1	16	38	38	22	0									
G u con	0	2	2	1360	10	17	10	10	720	–°–‹	ø’ ÷	130	100	20	32;38	0;0	0	14	0	8	30	300	3	9	701	2	100										\settings\droprate\npcdroprate302.ini	1	18	48	48	19	0									
Li÷p HÈ	0	1	1	1136	5	17	10	10	720	¡‘ªß	ø’ ÷	235	100	20	75;91	0;0	5	34	12	18	3	300	6	9	701	2	100										\settings\droprate\npcdroprate303.ini	1	28	70	70	23	0									
MÈ Tuy’t Ki’m Kh∏ch	0	3	3	1294	5	17	10	10	720	ƒ∫—©Ω£øÕ	ø’ ÷	200	100	17	67;79	0;0	5	7	3	0	6	300	5	9	701	2	100										\settings\droprate\npcdroprate304.ini	1	25	60	60	46	0									
MÈ Tuy’t Th≠¨ng Kh∏ch	0	3	3	1112	5	17	10	10	720	ƒ∫—©«πøÕ	ø’ ÷	235	100	20	75;91	0;0	5	34	12	18	3	300	6	9	701	2	100										\settings\droprate\npcdroprate305.ini	1	28	70	70	23	0									
LÈ t∆c	0	4	4	1294	5	17	10	10	720	¿π¬∑‘Ù	ø’ ÷	200	100	17	67;79	0;0	5	7	3	0	6	300	5	9	701	2	100										\settings\droprate\npcdroprate306.ini	1	25	60	60	46	0									
ThÍi Thi™n	6				3					 ±«®														18																												
Tµng HÂng Hoa	3	0	0	5	0	17	10	10	720	≤ÿ∫Ïª®	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	2	9													\settings\droprate\npcdroprate303.ini	0	1	1	1	36	0									
C∏t C∏nh	3	0	0	5	0	17	10	10	720	Ω€π£	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	2	9													\settings\droprate\npcdroprate303.ini	0	1	1	1	36	0									
ßi“n th t	3	0	0	5	0	17	10	10	720	ÃÔ∆ﬂ	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	2	9													\settings\droprate\npcdroprate303.ini	0	1	1	1	36	0									
R≠¨ng c„ th” mÎ	3	0	0	5	0	17	10	10	8100	ƒ‹¥Úø™µƒœ‰◊”	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	2	9														0	1	1	1	36	0									
TÛi r∏nh	3	0	0	5	0	17	10	10	720	∆∆¥¸◊”	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	2	9														0	1	1	1	36	0									
HÒ Thi tr™n Æ t	0	6	6	1000	0	17	10	10	720	Ã…‘⁄µÿ…œµƒ∏Ø ¨	ø’ ÷	200	100	17	7;19	0;0	5	7	3	0	6	300	5	9																												
Quan sai	0	0	0	2006	5	17	10	10	720	πŸ≤Ó	ø’ ÷	283	100	3	70;126	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	30	78	78	36	0									
Quan binh	0	0	0	2006	5	17	10	10	720	πŸ±¯	ø’ ÷	283	100	3	70;126	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	30	78	78	36	0									
V≠¨ng Lu©n	0	0	0	10000	5	17	10	10	720	Õı¬◊	ø’ ÷	370	100	3	100;123	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	40	146	146	36	0									
Nhﬁ HÁn	6	0	0	1500	8	17	10	10	720	∂˛ªÏ	ø’ ÷	200	100	9	16;20	0;0	0	10	10	8	0	200	2	9	701	2	100											1	15	100	100	29	0									
L≠¨ng Trung Th≠	0	0	0	10000	3	17	10	10	720	¡∫÷– È	ø’ ÷	410	100	3	100;200	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	40	146	146	36	0									
Cao C«u	0	0	0	10000	3	17	10	10	720	∏ﬂÂœ	ø’ ÷	410	100	3	100;200	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	40	146	146	36	0									
TËng Hµ	0	0	0	10000	5	17	10	10	720	ÀŒ∫”	ø’ ÷	410	100	3	100;200	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	40	146	146	36	0									
L˝ Qu˚	0	0	0	10000	5	17	10	10	720	¿ÓπÌ	ø’ ÷	410	100	3	100;200	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	40	146	146	36	0									
Hπ V´ Ly	0	0	0	20000	3	17	10	10	720	œƒŒﬁ¿Î	ø’ ÷	484	100	3	150;200	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	45	146	146	36	0									
LÙc Phong	0	0	0	51000	5	17	10	10	720	¬Ω∑Á	ø’ ÷	720	100	3	600;900	0;0	0	1	50	0	30	180	4	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	60	450	450	36	0									
T›n s¯	0	0	0	5000	10	17	10	10	720	–≈ π	ø’ ÷	410	100	60	165;185	0;0	10	31	12	16	30	300	5	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	40	146	146	22	0									
L≠u Kh u ß«u MÙc	0	0	0	10000	5	17	10	10	720	¡˜ø‹Õ∑ƒø	ø’ ÷	240	100	17	43;54	0;0	10	28	12	15	6	300	2	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	25	60	60	27	0									
TrÛc Di÷p Thanh	0	0	0	10000	5	17	10	10	720	÷Ò“∂«‡	ø’ ÷	240	100	17	43;54	0;0	10	28	12	15	6	300	2	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	25	60	60	27	0									
ßπi d∑ tr≠	0	0	0	10000	5	17	10	10	720	¥Û“∞÷Ì	ø’ ÷	240	100	17	43;54	0;0	10	28	12	15	6	300	2	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	25	60	60	27	0									
KŒ lang thang	0	0	0	10000	5	17	10	10	720	¡˜¿À∫∫	ø’ ÷	240	100	17	43;54	0;0	10	28	12	15	6	300	2	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	25	60	60	27	0									
Tay sai Quan s¯	0	0	0	10000	5	17	10	10	720	∂Ò¿Ù◊¶—¿	ø’ ÷	240	100	17	43;54	0;0	10	28	12	15	6	300	2	9	701	2	100										\settings\droprate\npcdroprate303.ini	3	25	60	60	27	0									
Huy“n V‚ Ki’m TrÀn	4	0	0	1	5	17	10	10	720	–˛Œ‰Ω£’Û	ø’ ÷	0	100	0	0;0	0;0	0	0	0	0	0	300																	5													
Huy“n V‚ Ki’m TrÀn (chi™u)	4	0	0	1	5	17	10	10	720	–˛Œ‰Ω£’Û	ø’ ÷	0	100	0	0;0	0;0	0	0	0	0	0	300																	5													
Ch„ canh30	0	0	0	56770	8	17	10	10	64400	ø¥√≈π∑30	ø’ ÷	2000	100	21	200;292	200;292	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj001.ini	1	30	156	156	36	0									
Ch„ canh40	0	0	0	59584	8	17	10	10	64400	ø¥√≈π∑40	ø’ ÷	2000	100	50	270;350	270;350	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj002.ini	1	40	204	204	18	0									
Ch„ canh50	0	0	0	66990	8	17	10	10	64400	ø¥√≈π∑50	ø’ ÷	558	100	60	560;608	560;608	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj003.ini	1	50	292	292	18	0									
Ch„ canh60	0	0	0	71176	8	17	10	10	64400	ø¥√≈π∑60	ø’ ÷	720	100	80	640;740	640;740	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj004.ini	1	60	398	398	18	0									
Ch„ canh70	0	0	0	73136	8	17	10	10	64400	ø¥√≈π∑70	ø’ ÷	853	100	80	720;800	720;800	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj005.ini	1	70	578	578	18	0									
Ch„ canh80	0	0	0	75096	8	17	10	10	64400	ø¥√≈π∑80	ø’ ÷	993	100	80	800;880	800;880	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj006.ini	1	80	762	762	18	0									
Ch„ canh90	0	0	0	77196	8	17	10	10	64400	ø¥√≈π∑90	ø’ ÷	1149	100	80	880;968	880;968	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj007.ini	1	90	1068	1068	18	0									
Gia Æinh30	0	0	0	56770	8	17	10	10	64400	ª§‘∫º“∂°30	ø’ ÷	2000	100	30	220;312	220;312	0	0	0	0	0	300	5	9	701	2	95	612	1	5							\settings\droprate\npcdropratecj008.ini	1	30	156	156	18	0									
Gia Æinh40	0	0	0	59584	8	17	10	10	64400	ª§‘∫º“∂°40	ø’ ÷	2000	100	50	270;350	270;350	0	0	0	0	0	300	5	9	701	2	95	612	1	5							\settings\droprate\npcdropratecj009.ini	1	40	204	204	18	0									
Gia Æinh50	0	0	0	66990	8	17	10	10	64400	ª§‘∫º“∂°50	ø’ ÷	558	100	60	560;607	560;608	0	0	0	0	0	300	5	9	701	2	95	612	1	5							\settings\droprate\npcdropratecj010.ini	1	50	292	292	18	0									
Gia Æinh60	0	0	0	71176	8	17	10	10	64400	ª§‘∫º“∂°60	ø’ ÷	720	100	80	640;740	640;740	0	0	0	0	0	300	5	9	701	2	95	612	1	5							\settings\droprate\npcdropratecj011.ini	1	60	398	398	18	0									
Gia Æinh70	0	0	0	73136	8	17	10	10	64400	ª§‘∫º“∂°70	ø’ ÷	853	100	80	720;800	720;800	0	0	0	0	0	300	5	9	701	2	95	612	1	5							\settings\droprate\npcdropratecj012.ini	1	70	578	578	18	0									
Gia Æinh80	0	0	0	75096	8	17	10	10	64400	ª§‘∫º“∂°80	ø’ ÷	993	100	80	800;880	800;880	0	0	0	0	0	300	5	9	701	2	95	612	1	5							\settings\droprate\npcdropratecj013.ini	1	80	762	762	18	0									
Gia Æinh90	0	0	0	77196	8	17	10	10	64400	ª§‘∫º“∂°90	ø’ ÷	1149	100	80	880;968	880;968	0	0	0	0	0	300	5	9	701	2	95	612	1	5							\settings\droprate\npcdropratecj014.ini	1	90	1068	1068	18	0									
TÊng ngoπi qu∂n30	0	0	0	1233000	16	8	10	10	64400	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹30	ø’ ÷	3000	100	60	306;426	306;426	0	0	0	0	0	300	5	9	636	1	100	635	1	100							\settings\droprate\npcdropratecj029.ini	10	30	1560	1560	1	2									
TÊng ngoπi qu∂n40	0	0	0	1353600	16	8	10	10	64400	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹40	ø’ ÷	3000	100	50	270;350	270;350	0	0	0	0	0	300	5	9	636	1	100	635	1	100							\settings\droprate\npcdropratecj030.ini	10	40	2040	2040	1	2									
TÊng ngoπi qu∂n50	0	0	0	1589700	16	8	10	10	64400	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹50	ø’ ÷	3000	100	60	2270;2351	2270;2351	0	0	0	0	0	300	5	9	636	1	100	635	1	100							\settings\droprate\npcdropratecj031.ini	10	50	2920	2920	1	2			\settings\npc\boss_setting\≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹50.ini						
TÊng ngoπi qu∂n60	0	0	0	1682800	16	8	10	10	64400	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹60	ø’ ÷	3000	100	80	2680;2788	2680;2788	0	0	0	0	0	300	5	9	636	1	100	635	1	100							\settings\droprate\npcdropratecj032.ini	10	60	3980	3980	1	2			\settings\npc\boss_setting\≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹60.ini						
TÊng ngoπi qu∂n70	0	0	0	1990800	16	8	10	10	64400	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹70	ø’ ÷	3000	100	80	2760;2920	2760;2920	0	0	0	0	0	300	5	9	636	2	100	635	1	100							\settings\droprate\npcdropratecj033.ini	10	70	5780	5780	1	2			\settings\npc\boss_setting\≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹70.ini						
TÊng ngoπi qu∂n80	0	0	0	2438800	16	8	10	10	64400	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹80	ø’ ÷	3000	100	80	2901;3020	2901;3020	0	0	0	0	0	300	5	9	636	3	100	635	1	100							\settings\droprate\npcdropratecj034.ini	10	80	7620	7620	1	2			\settings\npc\boss_setting\≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹80.ini						
TÊng ngoπi qu∂n90	0	0	0	2858800	16	8	10	10	64400	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹90	ø’ ÷	3000	100	80	3000;3172	3000;3172	0	0	0	0	0	300	5	9	636	4	100	635	1	100							\settings\droprate\npcdropratecj035.ini	10	90	10680	10680	1	2			\settings\npc\boss_setting\≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹90.ini						
Gi∏o Æ«u30	0	0	0	59584	8	17	10	10	64400	…Ω◊ØΩÃÕ∑30	ø’ ÷	2000	100	50	270;350	270;350	0	0	0	0	0	300	5	9	701	2	95	623	1	5							\settings\droprate\npcdropratecj015.ini	1	30	204	204	18	0									
Gi∏o Æ«u40	0	0	0	66990	8	17	10	10	64400	…Ω◊ØΩÃÕ∑40	ø’ ÷	2000	100	60	360;408	360;408	0	0	0	0	0	300	5	9	701	2	95	623	1	5							\settings\droprate\npcdropratecj016.ini	1	40	292	292	18	0									
Gi∏o Æ«u50	0	0	0	71176	8	17	10	10	64400	…Ω◊ØΩÃÕ∑50	ø’ ÷	558	100	80	640;740	640;740	0	0	0	0	0	300	5	9	701	2	95	623	1	5							\settings\droprate\npcdropratecj017.ini	1	50	398	398	18	0									
Gi∏o Æ«u60	0	0	0	80136	8	17	10	10	64400	…Ω◊ØΩÃÕ∑60	ø’ ÷	720	100	80	720;800	720;800	0	0	0	0	0	300	5	9	701	2	95	623	1	5							\settings\droprate\npcdropratecj018.ini	1	60	578	578	18	0									
