20260612-000146	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 1	2	22	301	100	-1876969476	2026-06-12 00:33:47	4294903100	0	0	0	2	3	0
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 2	2	22	302	100	-1226232394	2026-06-12 00:33:47	4294903592	0	0	0	2	2	1
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 3	2	22	303	100	1580578642	2026-06-12 00:33:47	0	0	0	0	2	1	2
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 4	2	22	304	100	845414640	2026-06-12 00:33:47	0	0	0	0	2	0	3
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 5	2	22	305	100	-1124320859	2026-06-12 00:33:47	0	0	0	0	2	4	3
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 6	2	22	306	100	-1056991221	2026-06-12 00:33:47	0	0	0	0	2	3	4
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch cÊp 7	2	22	307	100	-1366832639	2026-06-12 00:33:47	0	0	0	0	2	2	5
20260612-003509	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 8	2	22	308	100	1359028849	2026-06-12 00:33:47	0	0	0	0	2	1	6
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		0	0	0	0	Vâ L©m 2 Shiina	2	1	50001	1	2117283251	2026-06-12 00:33:41	592471	0	0	0	2	0	0
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	ThiÕt tinh cÊp 4	2	1	30612	100	-1227976885	2026-06-12 00:34:53	0	0	0	0	2	3	6
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	ThiÕt tinh cÊp 4	2	1	30612	100	-985899123	2026-06-12 00:34:53	0	0	0	0	2	4	6
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	ThiÕt tinh cÊp 4	2	1	30612	100	-1671753134	2026-06-12 00:34:53	0	0	0	0	2	0	7
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	ThiÕt tinh cÊp 4	2	1	30612	100	-2045276660	2026-06-12 00:34:53	0	0	0	0	2	1	7
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	ThiÕt tinh cÊp 4	2	1	30612	100	2076687097	2026-06-12 00:34:53	0	0	0	0	2	2	7
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch cÊp 1	2	1	30521	100	-810871231	2026-06-12 00:35:00	4294905849	4460305	0	0	2	3	7
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch cÊp 2	2	1	30522	100	-104885374	2026-06-12 00:35:00	4294905786	0	0	0	2	4	7
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch cÊp 3	2	1	30523	100	-1531214293	2026-06-12 00:35:00	1379426	4294905455	0	0	2	0	8
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch cÊp 4	2	1	30524	100	303915540	2026-06-12 00:35:00	4294904186	593270	0	0	2	1	8
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch cÊp 5	2	1	30525	100	1425169994	2026-06-12 00:35:00	593311	0	0	0	2	2	8
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch cÊp 6	2	1	30526	100	60564420	2026-06-12 00:35:00	3739166	0	0	0	2	3	8
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt CÊp 1	2	1	30527	100	-1922259826	2026-06-12 00:35:00	592720	4294904755	0	0	2	4	8
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt CÊp 2	2	1	30528	100	900803913	2026-06-12 00:35:00	4294905198	1314278	0	0	2	0	9
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt CÊp 3	2	1	30529	100	1217630890	2026-06-12 00:35:00	4294904457	0	0	0	2	1	9
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt cÊp 4	2	1	30530	100	-782886285	2026-06-12 00:35:00	4294905185	0	0	0	2	2	9
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt cÊp 5	2	1	30531	100	1318334896	2026-06-12 00:35:00	591890	0	0	0	2	3	9
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt cÊp 6	2	1	30532	100	379611866	2026-06-12 00:35:00	4394224	4294904080	0	0	2	4	9
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt CÊp 7	2	1	31401	50	-1817149441	2026-06-12 00:35:00	4294904183	0	0	0	2	0	10
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch CÊp 7	2	1	31402	50	-1006189343	2026-06-12 00:35:00	4294905580	0	0	0	2	1	10
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	LuyÖn L« ThiÕt Lv8	2	1	31614	50	1699595574	2026-06-12 00:35:00	4294905007	0	0	0	2	2	10
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	TÈy T©m Th¹ch Lv8	2	1	31615	50	-220781329	2026-06-12 00:35:00	1379147	4328021	0	0	2	3	10
20260612-003524	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		0	0	0	0	CÈm Nang §¸ Quý	2	1	30699	1	884373390	2026-06-12 00:35:06	2048	2048	2048	0	2	4	10
20260612-003524	ItemAdd	3086646439	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		0	0	0	0	Vâ L©m 2 Shiina	2	1	50001	1	-2018750900	2026-06-12 00:35:24	593829	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		0	0	0	0	§Þnh Hån Thiªn Th¹ch Th	2	1	1067	1	-446271131	2026-06-12 00:35:29	3803159	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		0	0	0	0	§¹i §Þnh Hån 	2	1	1113	1	1737660919	2026-06-12 00:35:29	4294905731	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		0	0	0	0	Thiªn Th¹ch linh th¹ch	2	1	1068	1	-1185243516	2026-06-12 00:35:29	4294904584	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Thiªn Th¹ch Tinh Th¹ch	2	1	1009	100	-601351979	2026-06-12 00:35:29	592246	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	C­êng hãa quyÓn 12	2	1	30424	50	-1756237593	2026-06-12 00:35:29	4294904333	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	C­êng hãa quyÓn 13	2	1	30425	50	164641545	2026-06-12 00:35:29	4294904677	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	C­êng hãa quyÓn 14	2	1	30426	50	-1220060034	2026-06-12 00:35:29	4294905197	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	50	350	1385	3015			0		0	0	0	0	C­êng hãa quyÓn 15	2	1	30427	50	1820847063	2026-06-12 00:35:29	4294904721	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	20	350	1385	3015			0		0	0	0	0	Ma §ao Th¹ch cÊp 1	2	1	30428	20	413933945	2026-06-12 00:35:29	7276916	4328762	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	20	350	1385	3015			0		0	0	0	0	Ma §¹o Th¹ch cÊp 2	2	1	30429	20	674466503	2026-06-12 00:35:29	4294904295	0	0	0	-1	-1	-1
20260612-003529	ItemAdd	2388713172	thuong	SdachSM	1090	All-Star	20	350	1385	3015			0		0	0	0	0	Ma §ao Th¹ch cÊp 3	2	1	30430	20	1545997204	2026-06-12 00:35:29	4294904107	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv1	2	22	101	100	-1667791502	2026-06-12 00:35:34	4294902727	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv1	2	22	201	100	525763291	2026-06-12 00:35:34	4294903123	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 1	2	22	301	100	-1475569608	2026-06-12 00:35:34	4294902252	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 1	2	22	401	100	1396854767	2026-06-12 00:35:34	4294902555	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv2	2	22	102	100	-1079681572	2026-06-12 00:35:34	4294903656	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv2	2	22	202	100	-1009613555	2026-06-12 00:35:34	4294902641	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 2	2	22	302	100	449562066	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 2	2	22	402	100	-1860210818	2026-06-12 00:35:34	4294902408	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv3	2	22	103	100	2145538685	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv3	2	22	203	100	496150649	2026-06-12 00:35:34	4294902963	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 3	2	22	303	100	-45311314	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 3	2	22	403	100	-402275686	2026-06-12 00:35:34	4294902326	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv4	2	22	104	100	1646046499	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv4	2	22	204	100	-1407789377	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 4	2	22	304	100	382792347	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 4	2	22	404	100	1230970039	2026-06-12 00:35:34	4294902619	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv5	2	22	105	100	-934592167	2026-06-12 00:35:34	4294902288	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv5	2	22	205	100	616181006	2026-06-12 00:35:34	4294901995	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 5	2	22	305	100	681919399	2026-06-12 00:35:34	4294902710	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 5	2	22	405	100	-96780812	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv6	2	22	106	100	-1176449152	2026-06-12 00:35:34	4294903045	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv6	2	22	206	100	-1859582335	2026-06-12 00:35:34	4294902764	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 6	2	22	306	100	814204836	2026-06-12 00:35:34	4294903413	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 6	2	22	406	100	2131685493	2026-06-12 00:35:34	4294901788	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕt TrÝch Th¹ch cÊp 7	2	22	107	100	-606569081	2026-06-12 00:35:34	4294902765	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖt B¹ch Th¹ch cÊp 7	2	22	207	100	-207591694	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch cÊp 7	2	22	307	100	-1938055522	2026-06-12 00:35:34	4294902654	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch cÊp 7	2	22	407	100	268127672	2026-06-12 00:35:34	4294903039	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	HuyÕt TrÝch Th¹ch CÊp 8	2	22	108	100	615218466	2026-06-12 00:35:34	4294903150	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	NguyÖt B¹ch Th¹ch CÊp 8	2	22	208	100	-596441013	2026-06-12 00:35:34	4294902632	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 8	2	22	308	100	974217357	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003534	ItemAdd	2833709819	thuong	SdachSM	1090	All-Star	100	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	100	511518089	2026-06-12 00:35:34	0	0	0	0	-1	-1	-1
20260612-003538	ItemAdd	967309142	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		0	0	0	0	CÈm Nang §¸ Quý	2	1	30699	1	-2064705396	2026-06-12 00:35:38	2048	2048	2048	0	-1	-1	-1
20260612-003549	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	2	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv2	2	22	102	98	-1079681572	2026-06-12 00:35:34	4294903656	0	0	0	2	1	3
20260612-003549	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	2	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv2	2	22	202	98	-1009613555	2026-06-12 00:35:34	4294902641	0	0	0	2	2	3
20260612-003549	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	2	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 2	2	22	302	98	449562066	2026-06-12 00:35:34	0	0	0	0	2	3	3
20260612-003549	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	2	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 2	2	22	402	98	-1860210818	2026-06-12 00:35:34	4294902408	0	0	0	2	4	3
20260612-003549	item_info	set_gem_socket_ok	thuong	SdachSM	1090	All-Star	0	350	1385	3015			0		1	0	0	0	Tèng-Chu T­íc T­íng Tr­	0	8	32550	300	-1054933524	2026-06-12 00:20:01	977733898	978127993	949294612	15	8	0	0
20260612-003553	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	3	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv3	2	22	103	97	2145538685	2026-06-12 00:35:34	0	0	0	0	2	0	4
20260612-003553	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	3	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv3	2	22	203	97	496150649	2026-06-12 00:35:34	4294902963	0	0	0	2	1	4
20260612-003553	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	3	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 3	2	22	303	97	-45311314	2026-06-12 00:35:34	0	0	0	0	2	2	4
20260612-003553	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	3	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 3	2	22	403	97	-402275686	2026-06-12 00:35:34	4294902326	0	0	0	2	3	4
20260612-003553	item_info	set_gem_socket_ok	thuong	SdachSM	1090	All-Star	1	350	1385	3015			0		1	0	0	0	Tèng-Chu T­íc T­íng Tr­	0	8	32550	300	-1054933524	2026-06-12 00:20:01	977733898	978127993	949294612	15	8	0	0
20260612-003556	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	4	350	1385	3015			0		0	0	0	0	HuyÕtTrÝchTh¹ch Lv4	2	22	104	96	1646046499	2026-06-12 00:35:34	0	0	0	0	2	4	4
20260612-003556	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	4	350	1385	3015			0		0	0	0	0	NguyÖtB¹chTh¹ch Lv4	2	22	204	96	-1407789377	2026-06-12 00:35:34	0	0	0	0	2	0	5
20260612-003556	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	4	350	1385	3015			0		0	0	0	0	Hæ Ph¸ch Th¹ch CÊp 4	2	22	304	96	382792347	2026-06-12 00:35:34	0	0	0	0	2	1	5
20260612-003556	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	4	350	1385	3015			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 4	2	22	404	96	1230970039	2026-06-12 00:35:34	4294902619	0	0	0	2	2	5
20260612-003556	item_info	set_gem_socket_ok	thuong	SdachSM	1090	All-Star	2	350	1385	3015			0		1	0	0	0	Tèng-Chu T­íc T­íng Tr­	0	8	32550	300	-1054933524	2026-06-12 00:20:01	977733898	978127993	949294612	15	8	0	0
20260612-003607	ItemSeperate	SeperateItem.Src	thuong	SdachSM	1090	All-Star	100	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	99	511518089	2026-06-12 00:35:34	0	0	0	0	2	3	8
20260612-003607	ItemSeperate	SeperateItem.Out	thuong	SdachSM	1090	All-Star	1	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	1	1488645578	2026-06-12 00:36:07	0	0	0	0	0	0	0
20260612-003608	ItemSeperate	SeperateItem.Src	thuong	SdachSM	1090	All-Star	99	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	98	511518089	2026-06-12 00:35:34	0	0	0	0	2	3	8
20260612-003608	ItemSeperate	SeperateItem.Out	thuong	SdachSM	1090	All-Star	1	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	1	1577356602	2026-06-12 00:36:08	0	0	0	0	0	0	0
20260612-003610	ItemSeperate	SeperateItem.Src	thuong	SdachSM	1090	All-Star	98	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	97	511518089	2026-06-12 00:35:34	0	0	0	0	2	3	8
20260612-003610	ItemSeperate	SeperateItem.Out	thuong	SdachSM	1090	All-Star	1	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	1	1021629021	2026-06-12 00:36:09	0	0	0	0	0	0	0
20260612-003614	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	1	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	1	1488645578	2026-06-12 00:36:07	0	0	0	0	8	1	0
20260612-003614	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	1	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	1	1021629021	2026-06-12 00:36:09	0	0	0	0	8	2	0
20260612-003614	ItemConsume	ExpendIdx	thuong	SdachSM	1090	All-Star	1	350	1380	3014			0		0	0	0	0	H¾c DiÖu Th¹ch CÊp 8	2	22	408	1	1577356602	2026-06-12 00:36:08	0	0	0	0	8	3	0
20260612-003614	item_info	set_gem_socket_ok	thuong	SdachSM	1090	All-Star	0	350	1380	3014			0		10033	0	0	0	Tèng-Chu T­íc T­íng Tr­	0	8	32550	300	-1054933524	2026-06-12 00:20:01	977733898	978127993	949294612	15	8	0	0
20260612-003614	item_info	set_gem_socket_ok	thuong	SdachSM	1090	All-Star	1	350	1380	3014			0		10033	0	0	0	Tèng-Chu T­íc T­íng Tr­	0	8	32550	300	-1054933524	2026-06-12 00:20:01	977733898	978127993	949294612	15	8	0	0
20260612-003614	item_info	set_gem_socket_ok	thuong	SdachSM	1090	All-Star	2	350	1380	3014			0		10033	0	0	0	Tèng-Chu T­íc T­íng Tr­	0	8	32550	300	-1054933524	2026-06-12 00:20:01	977733898	978127993	949294612	15	8	0	0
20260612-003645	large_str	AddItem[/script/ksgvn/item/item_test_card.lua|kgm_ShowMenuSupport]			0		394055601	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-003645	ItemAdd	394055601	thuong	SdachSM	1090	All-Star	500	350	1435	2942			0		0	0	0	0	Tinh Hån	2	95	3855	500	1905192694	2026-06-12 00:36:45	4294905692	0	0	0	-1	-1	-1
20260612-003645	ItemAdd	394055601	thuong	SdachSM	1090	All-Star	500	350	1435	2942			0		0	0	0	0	NguyÖt Ph¸ch	2	102	232	500	1011880656	2026-06-12 00:36:45	4294904257	789504	0	0	-1	-1	-1
20260612-003652	large_str	AddItem[/script/ksgvn/item/item_test_card.lua|kgm_AddLinhDon]			0		1954178750	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-003652	ItemAdd	1954178750	thuong	SdachSM	1090	All-Star	500	350	1435	2942			0		0	0	0	0	Håi Tiªn §¬n	2	1	30847	500	-1419969988	2026-06-12 00:36:52	4294905501	0	0	0	-1	-1	-1
20260612-003652	ItemAdd	1954178750	thuong	SdachSM	1090	All-Star	500	350	1435	2942			0		0	0	0	0	Linh Ph¸ch §¬n	2	1	31239	500	-337149715	2026-06-12 00:36:52	4294904232	0	0	0	-1	-1	-1
20260612-003726	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	1	350	1435	2942			0		0	0	0	0	Vâ L©m 2 Shiina	2	1	50001	1	-2018750900	2026-06-12 00:35:24	593829	0	0	0	2	0	0
20260612-003726	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	1	350	1435	2942			0		0	0	0	0	§Þnh Hån Thiªn Th¹ch Th	2	1	1067	1	-446271131	2026-06-12 00:35:29	3803159	0	0	0	2	1	0
20260612-003726	ItemConsume	ClearItemInPos	thuong	SdachSM	1090	All-Star	1	350	1435	2942			0		0	0	0	0	§¹i §Þnh Hån 	2	1	1113	1	1737660919	2026-06-12 00:35:29	4294905731	0	0	0	2	2	0
