T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ  (1-10 m«n ph¸i, 10 c¶ bé trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	
Secret Poison Garment	0	100	621	80	15000	0	250	25;25					6021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0						
Secret Poison Garment	0	100	622	80	15000	0	250	25;25					6022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0						
Secret Poison Garment	0	100	623	80	15000	0	250	25;25					6023	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0						
Secret Poison Garment	0	100	624	80	15000	0	250	25;25					6024	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0						
Secret Poison Garment	0	100	6219	80	0	0	250	25;25					96021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	±ê×¼ÄĞÇû¸É018	§· khãa		9	2	1	6	0						
Secret Poison Garment	0	100	6229	80	0	0	250	25;25					96022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	¿ıÎàÄĞÇû¸É007	§· khãa		9	2	1	6	0						
Secret Poison Garment	0	100	6239	80	0	0	250	25;25					96023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	6	0						
Secret Poison Garment	0	100	6249	80	0	0	250	25;25					96024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö §­êng M«n khi lµm mËt vô, bªn trong cã tÈm ®éc	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	6	0						
Thanh T©m tè y	0	100	801	50	2	0	150	12;18					8001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	§Ö tö cÊp thÊp Nga My phËt gia luyÖn c«ng th­êng sö dông	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	8	0						
Thanh T©m tè y	0	100	802	50	2	0	150	12;18					8002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	§Ö tö cÊp thÊp Nga My phËt gia luyÖn c«ng th­êng sö dông	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	8	0						
Th¸i Vò tè y	0	100	811	60	5000	0	200	15;24					8011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	Trang phôc cña ®Ö tö cÊp cao Nga My phËt gia	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	8	0						
Th¸i Vò tè y	0	100	812	60	5000	0	200	15;24					8012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Nga My phËt gia	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	8	0						
Ph¸p V©n y	0	100	821	80	15000	0	250	18;30					8021	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	8	0						
Ph¸p V©n y	0	100	822	80	15000	0	250	18;30					8022	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	8	0						
Ph¸p V©n y	0	100	8219	80	0	0	250	18;30					98021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	8	0						
Ph¸p V©n y	0	100	8229	80	0	0	250	18;30					98022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia.	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	8	0						
Zi Ku belt	0	100	901	50	2	0	150	16;16					9001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Nga My tôc gia	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	9	0						
Zi Ku belt	0	100	902	50	2	0	150	16;16					9002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Nga My tôc gia	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	9	0						
Ph¹n ¢m tè y	0	100	911	60	5000	0	200	20;20					9011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	Trang phôc cña ®Ö tö cÊp cao Nga My tôc gia	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	9	0						
Ph¹n ¢m tè y	0	100	912	60	5000	0	200	20;20					9012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Nga My tôc gia	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	9	0						
Ph¸p ¢m y	0	100	921	80	15000	0	250	25;25					9021	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	9	0						
Ph¸p ¢m y	0	100	922	80	15000	0	250	25;25					9022	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	9	0						
Ph¸p ¢m y	0	100	9219	80	0	0	250	25;25					99021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	9	0						
Ph¸p ¢m y	0	100	9229	80	0	0	250	25;25					99022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	9	0						
Zhi Ba robe	0	100	1101	50	2	0	150	18;12					11001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	11	0						
Zhi Ba robe	0	100	1102	50	2	0	150	18;12					11002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	11	0						
Zhi Ba robe	0	100	1103	50	2	0	150	18;12					11003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	11	0						
Zhi Ba robe	0	100	1104	50	2	0	150	18;12					11004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	11	0						
Trõ Gian Th­êng	0	100	1111	60	5000	0	200	24;15					11011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0						
Trõ Gian Th­êng	0	100	1112	60	5000	0	200	24;15					11012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0						
Trõ Gian Th­êng	0	100	1113	60	5000	0	200	24;15					11013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0						
Trõ Gian Th­êng	0	100	1114	60	5000	0	200	24;15					11014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0						
Four Seas Garment	0	100	1121	80	15000	0	250	30;18					11021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0						
Four Seas Garment	0	100	1122	80	15000	0	250	30;18					11022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0						
Four Seas Garment	0	100	1123	80	15000	0	250	30;18					11023	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0						
Four Seas Garment	0	100	1124	80	15000	0	250	30;18					11024	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0						
Four Seas Garment	0	100	11219	80	0	0	250	30;18					911021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	±ê×¼ÄĞÇû¸É018	§· khãa		9	2	1	11	0						
Four Seas Garment	0	100	11229	80	0	0	250	30;18					911022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	¿ıÎàÄĞÇû¸É007	§· khãa		9	2	1	11	0						
Four Seas Garment	0	100	11239	80	0	0	250	30;18					911023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	11	0						
Four Seas Garment	0	100	11249	80	0	0	250	30;18					911024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	11	0						
Xiao Hua robe	0	100	1201	50	2	0	150	16;16					12001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ¤ Y C¸i Bang	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	12	0						
Xiao Hua robe	0	100	1202	50	2	0	150	16;16					12002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ¤ Y C¸i Bang	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	12	0						
Xiao Hua robe	0	100	1203	50	2	0	150	16;16					12003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ¤ Y C¸i Bang	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	12	0						
Xiao Hua robe	0	100	1204	50	2	0	150	16;16					12004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ¤ Y C¸i Bang	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	12	0						
Trõng ¸c Th­êng	0	100	1211	60	5000	0	200	20;20					12011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao ¤ Y C¸i Bang	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0						
Trõng ¸c Th­êng	0	100	1212	60	5000	0	200	20;20					12012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao ¤ Y C¸i Bang	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0						
Trõng ¸c Th­êng	0	100	1213	60	5000	0	200	20;20					12013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	Trang phôc cña ®Ö tö cÊp cao ¤ Y C¸i Bang	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0						
Trõng ¸c Th­êng	0	100	1214	60	5000	0	200	20;20					12014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao ¤ Y C¸i Bang	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0						
To Nghia Thuong	0	100	1221	80	15000	0	250	25;25					12021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0						
To Nghia Thuong	0	100	1222	80	15000	0	250	25;25					12022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0						
To Nghia Thuong	0	100	1223	80	15000	0	250	25;25					12023	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0						
To Nghia Thuong	0	100	1224	80	15000	0	250	25;25					12024	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0						
To Nghia Thuong	0	100	12219	80	0	0	250	25;25					912021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	±ê×¼ÄĞÇû¸É018	§· khãa		9	2	1	12	0						
To Nghia Thuong	0	100	12229	80	0	0	250	25;25					912022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	¿ıÎàÄĞÇû¸É007	§· khãa		9	2	1	12	0						
To Nghia Thuong	0	100	12239	80	0	0	250	25;25					912023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	12	0						
To Nghia Thuong	0	100	12249	80	0	0	250	25;25					912024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y 8 tói.	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	12	0						
Qing Tu gown	0	100	1401	50	2	0	150	12;18					14001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	14	0						
Qing Tu gown	0	100	1402	50	2	0	150	12;18					14002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	14	0						
Qing Tu gown	0	100	1403	50	2	0	150	12;18					14003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	14	0						
Qing Tu gown	0	100	1404	50	2	0	150	12;18					14004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	14	0						
NhËp Qu¸n ph¸p bµo	0	100	1411	60	5000	0	200	15;24					14011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0						
NhËp Qu¸n ph¸p bµo	0	100	1412	60	5000	0	200	15;24					14012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0						
NhËp Qu¸n ph¸p bµo	0	100	1413	60	5000	0	200	15;24					14013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0						
NhËp Qu¸n ph¸p bµo	0	100	1414	60	5000	0	200	15;24					14014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0						
Four Symbols Dharma Robe	0	100	1421	80	15000	0	250	18;30					14021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0						
